Header,Item,Subscale,reverse score,Response type
NEO_8_conscientiousness_r,Leave my belongings around.,conscientiousness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_9_emotionalStability,Am relaxed most of the time.,emotionalStability,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_10_intellectImagination_r,Have difficulty understanding abstract ideas.,intellectImagination,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_11_extraversion,Feel comfortable around people.,extraversion,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_12_agreeableness_r,Insult people.,agreeableness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_13_conscientiousness,Pay attention to details.,conscientiousness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_14_emotionalStability_r,Worry about things.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_15_intellectImagination,Have a vivid imagination.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_16_extraversion_r,Keep in the background.,extraversion,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_17_agreeableness,Sympathize with others' feelings.,agreeableness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_18_conscientiousness_r,Make a mess of things.,conscientiousness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_19_emotionalStability,Seldom feel blue.,emotionalStability,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_20_intellectImagination_r,Am not interested in abstract ideas.,intellectImagination,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_21_extraversion,Start conversations.,extraversion,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_22_agreeableness_r,Am not interested in other people's problems.,agreeableness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_23_conscientiousness,Get chores done right away.,conscientiousness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_24_emotionalStability_r,Am easily disturbed.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_25_intellectImagination,Have excellent ideas.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_26_extraversion_r,Have little to say.,extraversion,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_27_agreeableness,Have a soft heart.,agreeableness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_28_conscientiousness_r,Often forget to put things back in their proper place.,conscientiousness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_29_emotionalStability_r,Get upset easily.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_30_intellectImagination_r,Do not have a good imagination.,intellectImagination,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_31_extraversion,Talk to a lot of different people at parties.,extraversion,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_32_agreeableness_r,Am not really interested in others.,agreeableness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_33_conscientiousness,Like order.,conscientiousness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_34_emotionalStability_r,Change my mood a lot.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_35_intellectImagination,Am quick to understand things.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_36_extraversion_r,Don't like to draw attention to myself.,extraversion,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_37_agreeableness,Take time out for others.,agreeableness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_38_conscientiousness_r,Shirk my duties.,conscientiousness,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_39_emotionalStability_r,Have frequent mood swings.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_40_intellectImagination,Use difficult words.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_41_extraversion,Don't mind being the center of attention.,extraversion,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_42_agreeableness,Feel others' emotions.,agreeableness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_43_conscientiousness,Follow a schedule.,conscientiousness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_44_emotionalStability_r,Get irritated easily.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_45_intellectImagination,Spend time reflecting on things.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_46_extraversion_r,Am quiet around strangers.,extraversion,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_47_agreeableness,Make people feel at ease.,agreeableness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_48_conscientiousness,Am exacting in my work.,conscientiousness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_49_emotionalStability_r,Often feel blue.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_50_intellectImagination,Am full of ideas.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
PANAS_1_positive,Interested,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_2_negative,Distressed,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_3_positive,Excited,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_4_negative,Upset,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_5_positive,Strong,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_6_negative,Guilty,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_7_negative,Scared,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_8_negative,Hostile,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_9_positive,Enthusiastic,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_10_positive,Proud,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_11_negative,Irritable,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_12_positive,Alert,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_13_negative,Ashamed,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_14_positive,Inspired,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_15_negative,Nervous,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_16_positive,Determined,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_17_positive,Attentive,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_18_negative,Jittery,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_19_positive,Active,positive,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PANAS_20_negative,Afraid,negative,,"very slightly or not at all; a liitle, moderately, quite a bit; extremely"
PSS_1,"In the last month, how often have you been upset because of something that happened unexpectedly?",,,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_2,"In the last month, how often have you felt that you were unable to control the important things in your life?",,,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_3,"In the last month, how often have you felt nervous and “stressed”?",,,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_4_r,"In the last month, how often have you felt confident about your ability to handle your personal problems?",,r,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_5_r,"In the last month, how often have you felt that things were going your way?",,r,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_6,"In the last month, how often have you found that you could not cope with all the things that you had to do?",,,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_7_r,"In the last month, how often have you been able to control irritations in your life?",,r,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_8_r,"In the last month, how often have you felt that you were on top of things?",,r,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_9,"In the last month, how often have you been angered because of things that were outside of your control?",,,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSS_10,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",,,"Never; Almost Never; Sometimes; Fairly Often; Very Often
"
PSWQ_1_r,"If I do not have enough time to do everything, I do not worry about it",,r,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_2,My worries overwhelm me,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_3_r,I do not tend to worry about things,,r,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_4,Many situations make me worry,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_5,"I know I should not worry about things, but I just cannot help it",,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_6,When I am under pressure I worry a lot,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_7,I am always worrying about something,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_8_r,I find it easy to dismiss worrisome thoughts,,r,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_9,"As soon as I finish one task, I start to worry about everything else I have to do",,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_10_r,I never worry about anything,,r,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_11_r,"When there is nothing more I can do about a concern, I do not worry about it any more",,r,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_12,I have been a worrier all my life,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_13,I notice that I have been worrying about things,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_14,"Once I start worrying, I cannot stop",,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_15,I worry all the time,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
PSWQ_16,I worry about projects until they are all done,,,Not at all typical of me1; 2; 3; 4; Very typical of me5
STAIS_1_r,I feel calm,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_2_r,I feel secure,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_3,I am tense,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_4,I feel stained,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_5_r,I feel at ease,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_6,I feel upset,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_7,I am presently worrying over possible misfortunes,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_8_r,I feel satisfied,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_9,I feel frightened,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_10_r,I feel comfortable,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_11_r,I feel self-confident,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_12,I feel nervous,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_13,I am jittery,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_14,I feel indecisive,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_15_r,I am relaxed,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_16_r,I feel content,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_17,I am worried,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_18,I feel confused,,,Not at all; Somewhat; Moderately so; Very much so
STAIS_19_r,I feel steady,,r,Not at all; Somewhat; Moderately so; Very much so
STAIS_20_r,I feel pleasant,,r,Not at all; Somewhat; Moderately so; Very much so
STAIT_1_r,I feel pleasant,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_2,I feel nervous and restless,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_3_r,I feel satisfied with myself,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_4,I wish I could be as happy as others seem to be,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_5,I feel like a failure,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_6_r,I feel rested,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_7_r,"I am""calm, cool, and collected""",,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_8,I feel that difficulties are piling up so that I cannot overcome them,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_9,I worry too much over something that really doesn't matter,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_10_r,I am happy,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_11,I have disturbing thoughts,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_12,I lack self-confidence,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_13_r,I feel secure,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_14_r,I make decisions easily,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_15,I feel inadequate,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_16_r,I am content,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_17,Some unimportant thought runs through my mind and bothers me,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_18,I take disappointments so keenly that I can't put them out of my mind,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_19_r,I am a steady person,,r,Almost never 1; Sometimes 2; Often 3; Almost always 4
STAIT_20,I get in a state of tension or turmoil as I think over my recent concerns and interests,,,Almost never 1; Sometimes 2; Often 3; Almost always 4
ERQunmodified_1_reapp,"When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_2_supp,I keep my emotions to myself,,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_3_reapp,"When I want to feel less negative emotion (such as sadness or anger), I change what I'm thinking about",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_4_supp,"When I am feeling positive emotions, I am careful not to express them",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_5_reapp,"When I'm faced with a stressful situation, I make myself think about it in a way that helps me stay calm",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_6_supp,I control my emotions by not expressing them,,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_7_reapp,"When I want to feel more positive emotion, I change the way I'm thinking about the situation",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_8_reapp,I control my emotions by changing the way I think about the situation I'm in,,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_9_supp,"When I am feeling negative emotions, I make sure not to express them",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQunmodified_10_reapp,"When I want to feel less negative emotion, I change the way I'm thinking about the situation",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_1_reapp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_2_supp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - I keep my emotions to myself",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_3_reapp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I want to feel less negative emotion (such as sadness or anger), I change what I'm thinking about",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_4_supp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I am feeling positive emotions, I am careful not to express them",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_5_reapp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I'm faced with a stressful situation, I make myself think about it in a way that helps me stay calm",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_6_supp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - I control my emotions by not expressing them",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_7_reapp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I want to feel more positive emotion, I change the way I'm thinking about the situation",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_8_reapp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - I control my emotions by changing the way I think about the situation I'm in",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_9_supp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I am feeling negative emotions, I make sure not to express them",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
ERQmodified_10_reapp,"For each item, please answer using the scale below, regarding how you have recently been managing your emotions: - When I want to feel less negative emotion, I change the way I'm thinking about the situation",,,Strongly Disagree 1; 2; 3; Neutral 4; 5; 6; Strongly Agree 7
